"Branch
 Name","Branch
Group","Data
Type",MC Only?,"Which Trees Is 
This Filled In?
(MasterAnaDev, Truth, Meta)","Branch 
Content Description","Branch 
Use Description
(MAT/MAT-MINERvA
locations/analyses)",Public-facing Document,
shower_isGood[shower_isGood_sz],Pi0,Int,No,MasterAnaDev,Quality of the shower based on shower_score < 100,,,
shower_nclusters_sz,Pi0,Int,No,MasterAnaDev,number of showers,,,
shower_nclusters[shower_nclusters_sz],Pi0,Int,No,MasterAnaDev,number of clusters used in showers,,,
shower_ndigits_sz,Pi0,Int,No,MasterAnaDev,number of showers,,,
shower_ndigits[shower_ndigits_sz],Pi0,Int,No,MasterAnaDev,number of digits used in shower,,,
shower_pdg_sz,Pi0,Int,No,MasterAnaDev,number of showers,,,
shower_pdg[shower_pdg_sz],Pi0,Int,No,MasterAnaDev,PDG of showers,,,
shower_dist_fitline_sz,Pi0,Int,No,MasterAnaDev,Legacy code for shower start position not filled,,,
shower_dist_fitline[shower_dist_fitline_sz],Pi0,Double,No,MasterAnaDev,Legacy code for shower start position not filled,,,
shower_energy_sz,Pi0,Int,No,MasterAnaDev,number of showers,,,
shower_energy[shower_energy_sz],Pi0,Double,No,MasterAnaDev,Legacy individual shower energies,,,
shower_score_sz,Pi0,Int,No,MasterAnaDev,size of shower score array,,,
shower_score[shower_score_sz],Pi0,Double,No,MasterAnaDev,Shower scored based on dEdX,,,
Good_Blobs,Pi0,Int,No,MasterAnaDev,Blobs that verify: DIstance to vertex > 150mm and dEdx score < 100,,,
anglescan_nfoundBlobs,Pi0,Int,No,MasterAnaDev,Number of blobs found in the angle scan algorithm,,,
Cut_BlobDirectionBad,Pi0,Int,No,MasterAnaDev,Legacy cut on the blob directions,,,
Cut_PreFilter_Pi0,Pi0,Int,No,MasterAnaDev,Legacy cut for the Pi0,,,
preFilter_Result,Pi0,Int,No,MasterAnaDev,Legacy cut on the pi0 reconstruction,,,
is_Pi0_ML_Event,Pi0,Int,No,MasterAnaDev,Bool to say if we have a ML prediction on the specific gate,,,
hadron_em_evis_ecal,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the hadron clusters in the ecal,,,
hadron_em_evis_scal_UV,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the hadron clusters in the UV sidecal,,,
hadron_em_evis_scal_X,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the hadron clusters in the X sidecal,,,
hadron_em_evis_trkr,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the hadron clusters in the tracker,,,
hadron_em_fraction,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the hadron clusters,,,
proton_em_evis_ecal,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track in the ecal,,,
proton_em_evis_scal_UV,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track in the UV sidecal,,,
proton_em_evis_scal_X,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track in the X sidecal,,,
proton_em_evis_trkr,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track in the tracker,,,
proton_em_fraction,Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track,,,
sec_protons_em_evis_ecal_sz,Pi0,Int,No,MasterAnaDev,Size of sec_protons em branches,,,
sec_protons_em_evis_ecal[sec_protons_em_evis_ecal_sz],Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the secondary tracks in the ecal,,,
sec_protons_em_evis_scal_UV_sz,Pi0,Int,No,MasterAnaDev,Size of sec_protons em branches,,,
sec_protons_em_evis_scal_UV[sec_protons_em_evis_scal_UV_sz],Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the secondary tracks in the UV sidecal,,,
sec_protons_em_evis_scal_X_sz,Pi0,Int,No,MasterAnaDev,Size of sec_protons em branches,,,
sec_protons_em_evis_scal_X[sec_protons_em_evis_scal_X_sz],Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the secondary tracks in the X sidecal,,,
sec_protons_em_evis_trkr_sz,Pi0,Int,No,MasterAnaDev,Size of sec_protons em branches,,,
sec_protons_em_evis_trkr[sec_protons_em_evis_trkr_sz],Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the secondary tracks in the tracker,,,
sec_protons_em_fraction_sz,Pi0,Int,No,MasterAnaDev,Size of sec_protons em branches,,,
sec_protons_em_fraction[sec_protons_em_fraction_sz],Pi0,Double,No,MasterAnaDev,The fraction of ML tagged EM clusters in the primary track,,,
,,,,,,,,
MasterAnaDev_BlobID_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobID[MasterAnaDev_BlobID_sz],Neutron Branches,Int,No,MasterAnaDev,"ID of candidate, effectively the index in this and other candidate-level vectors",Used in identifying the candidate,,
MasterAnaDev_BlobClusID_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Clusters Inside Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobClusID[MasterAnaDev_BlobClusID_sz],Neutron Branches,Int,No,MasterAnaDev,"""BlobID"" (index) of candidate that this cluster is a part of",Used in coupling cluster-level information to candidate-level information,,
MasterAnaDev_BlobIs3D_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobIs3D[MasterAnaDev_BlobIs3D_sz],Neutron Branches,Int,No,MasterAnaDev,Is the neutron candidate a reconstructed object with 3D position (multiple views),Used in isolating candidates with 3D reconstructed position (correlates with the particle which makes the candidate's ability to traverse multiple planes),,
"MasterAnaDev_Blob<X,Y,Z,T,TPos>_sz",Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_Blob<X,Y,Z,T,TPos>[MasterAnaDev_Blob<X,Y,Z,T,TPos>_sz]",Neutron Branches,Double,No,MasterAnaDev,"X, Y, Z, Time, Transverse position in plane of candidate",Used as a defined position of the candidate,,
MasterAnaDev_BlobTotalE_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobTotalE[MasterAnaDev_BlobTotalE_sz],Neutron Branches,Double,No,MasterAnaDev,"Total Visible Energy (Calibrated, non-passive corrected) of the clusters in the candidate",Energy of Candidate for cross checks in interaction modeling/kinematic cuts/etc.,,
"MasterAnaDev_BlobBeg<X,Y,Z,T>_sz",Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobBeg<X,Y,Z,T>[MasterAnaDev_BlobBeg<X,Y,Z,T>_sz]",Neutron Branches,Double,No,MasterAnaDev,"X, Y, Z, Time position of Beginning of Candidate [Calculated most close to vertex in Z positions]",Used as a defined position of the candidate,,
"MasterAnaDev_BlobEnd<X,Y,Z,T>_sz",Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobEnd<X,Y,Z,T>[MasterAnaDev_BlobEnd<X,Y,Z,T>_sz]",Neutron Branches,Double,No,MasterAnaDev,"X, Y, Z, Time position of End of Candidate [Calculated most far from vertex in Z positions]",Used as a defined position of the candidate,,
"MasterAnaDev_Blob<View, Energy, TPos, Time, Z>PerCluster_sz",Neutron Branches,Int,No,MasterAnaDev,Number of Clusters Inside Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_Blob<View, Energy, TPos, Time, Z>PerCluster[MasterAnaDev_Blob<View, Energy, TPos, Time, Z>PerCluster_sz]",Neutron Branches,"View: Int
Rest: Double",No,MasterAnaDev,"Transverse View (Transverse coordinate in plane), Visible Energy, Transverse Position in plane, Time, Z position",Use in looking cluster by cluster inside the candidate to better understand its creation/energy contributions/modeling/etc.,,
MasterAnaDev_BlobMCPID_sz,Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobMCPID[MasterAnaDev_BlobMCPID_sz],Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,PDG Code for particle whose energy deposits contributed to the most true energy in the candidate,"Used in identifying the creation process of candidates (one quirk… this can be ""neutron"" for events where the neutron makes a photon, as MINERvA's truth saving cuts out EM activity to avoid showers making absurd data sizes)",,
MasterAnaDev_BlobParentMCPID_sz,Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobParentMCPID[MasterAnaDev_BlobParentMCPID_sz],Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,PDG Code for the direct parent of the particle which produced the particle which led to the most true energy in the candidate,Used in understanding the processes which make the neutron candidate,,
MasterAnaDev_BlobTopMCPID_sz,Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobTopMCPID[MasterAnaDev_BlobTopMCPID_sz],Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,PDG Code for the GENIE final state ancestor of the particle which produced the particle which led to the most true energy in the candidate,Used in understanding the neutrino/antineutrino interaction processes which make the candidate,,
MasterAnaDev_BlobMCTrackID_sz,Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobMCTrackID[MasterAnaDev_BlobMCTrackID_sz],Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,GEANT4 Track ID for the particle which led to the most true energy in the candidate,Can partially help identify how far along the particle propagation chain the candidate is made,,
MasterAnaDev_BlobMCParentTrackID_sz,Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobMCParentTrackID[MasterAnaDev_BlobMCParentTrackID_sz],Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,GEANT4 Track ID for the parent particle which creates the particle which contributed the most true energy to the candidate (-1 should be neutrino/antineutrino),Can partially help identify how far along the particle propagation chain the candidate is made,,
"MasterAnaDev_BlobMCTopTrack<E,Px,Py,Pz>_sz",Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobMCTopTrack<E,Px,Py,Pz>[MasterAnaDev_BlobMCTopTrack<E,Px,Py,Pz>_sz]",Neutron Branches,Double,"Effectively Yes, Dummy Value in Data",MasterAnaDev,True Initial 4-momentum of GENIE final state ancestor of the particle which contributed the most true energy to the candidate,Use to correlate to neutrino/antineutrino interaction outgoing kinematics to the production of the candidate,,
"MasterAnaDev_BlobMCTrack<E,Px,Py,Pz>_sz",Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobMCTrack<E,Px,Py,Pz>[MasterAnaDev_BlobMCTrack<E,Px,Py,Pz>_sz]",Neutron Branches,Double,"Effectively Yes, Dummy Value in Data",MasterAnaDev,True Initial 4-momentum of the particle which contributed the most true energy to the candidate,Use to understand direct production process of the candidate,,
"MasterAnaDev_BlobMCTrack<X,Y,Z,T>_sz",Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobMCTrack<X,Y,Z,T>[MasterAnaDev_BlobMCTrack<X,Y,Z,T>_sz]",Neutron Branches,Double,"Effectively Yes, Dummy Value in Data",MasterAnaDev,True Initial 4-position of the particle which contributed the most true energy to the candidate,Use to understand direct production process of the candidate,,
"MasterAnaDev_MCEnergyFrac_<Election, Muon, Photon, Pi0, PiPlus, PiMinus, Proton, Neutron, NonParticle, Others>_sz",Neutron Branches,Int,"Effectively Yes, Dummy Value in Data",MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_MCEnergyFrac_<Election, Muon, Photon, Pi0, PiPlus, PiMinus, Proton, Neutron, NonParticle, Others>[MasterAnaDev_MCEnergyFrac_<Election, Muon, Photon, Pi0, PiPlus, PiMinus, Proton, Neutron, NonParticle, Others>_sz]",Neutron Branches,Double,"Effectively Yes, Dummy Value in Data",MasterAnaDev,"Fraction of MC True Energy In the Candidate Coming from: Election - Electrons/Positrons, Muon - Both Sign Muons, Photon - Photons, Pi0 - Pi0, PiPlus - Pi+, PiMinus - Pi-, Proton - protons/antiprotons, Neutron - neutrons/antineutrons, NonParticle - no truth-matched particle (e.g. data overlay), Others (anything else)",Used to understand other contributors to the true energy of the candidate. The highest fraction may not match the MC PID as this is the sum of all contributors. Mostly a problem for overlapping deposits from other particles ,,
MasterAnaDev_BlobNClusters_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobNClusters[MasterAnaDev_BlobNClusters_sz],Neutron Branches,Int,No,MasterAnaDev,Number of Clusters within the candidate,Used to associate per cluster information with the candidate,,
MasterAnaDev_BlobNHeavyIonizingClusters_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobNHeavyIonizingClusters[MasterAnaDev_BlobNHeavyIonizingClusters_sz],Neutron Branches,Int,No,MasterAnaDev,"Number of ""Heavy Ionizing"" Clusters in the candidate. These are clusters with at least one single strip hit (digit) with energy > 8 MeV or a sum of strips with hits combined to > 17 MeV ",Used to investigate potential contributors to the candidate as more often than not the heavy ionizing clusters are from the Bragg peaks at ends of particle trajectories.,,
MasterAnaDev_BlobAvgE_sz,Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
MasterAnaDev_BlobAvgE[MasterAnaDev_BlobAvgE_sz],Neutron Branches,Double,No,MasterAnaDev,Cluster-averaged visible energy of the candidate,Used to understand the energy distribution across the candidate,,
"MasterAnaDev_BlobCluster<Min, Max>E_sz",Neutron Branches,Int,No,MasterAnaDev,Number of Neutron Candidates (size of following vector),Size Checks,,
"MasterAnaDev_BlobCluster<Min, Max>E[MasterAnaDev_BlobCluster<Min, Max>E_sz]",Neutron Branches,Double,No,MasterAnaDev,Minimum/Maximum (respectively) cluster visible energy within the candidate,Used to understand the energy distribution across the candidate,,
,,,,,,,,
event_unused_start_vertices,Event Content Overview,Int,No,MasterAnaDev,“event_unused_start_vertices” means the number of reconstructed vertices that are not associated with any event candidate.,Use Uncommon,,
event_used_start_vertices,Event Content Overview,Int,No,MasterAnaDev," “event_used_start_vertices”
 means the number of reconstructed
 start vertices that are associated
 with the event candidate.",Use Uncommon,,
all_event_start_vertex_fv_minos_match_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
all_event_start_vertex_fv_minos_match[all_event_start_vertex_fv_minos_match_sz],Event Content Overview,Int,No,MasterAnaDev,"Stores a list of integers (0 or 1) for all reconstructed event start vertices, where each entry indicates whether that vertex is inside the MINERvA fiducial volume (FV) and is geometrically matched to the MINOS detector.",Use Uncommon,,
all_event_start_vertex_time_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
all_event_start_vertex_time[all_event_start_vertex_time_sz],Event Content Overview,Double,No,MasterAnaDev,Stores the reconstructed time (in ns) of all used start vertices in the event. Each entry is one vertex’s getTime() value.,Use Uncommon,,
all_event_start_vertex_time_minos_match_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
all_event_start_vertex_time_minos_match[all_event_start_vertex_time_minos_match_sz],Event Content Overview,Double,No,MasterAnaDev,Stores the reconstructed times (in ns) of start vertices that are matched to MINOS (either via a MinosTrack or MinosStub prong).,Use Uncommon,,
n_minos_matches,Event Content Overview,Int,No,MasterAnaDev,Number of reconstructed start vertices in the event that are associated with at least one MINOS match (either a track or stub).,Use Uncommon,,
slice_n_hits,Event Content Overview,Int,No,MasterAnaDev,Stores the total number of hits in the slice.,Use Uncommon,,
slice_hit_energy_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
slice_hit_energy[slice_hit_energy_sz],Event Content Overview,Double,No,MasterAnaDev,Stores the normalized energy of each hit in the slice. One entry per hit.,Use Uncommon,,
slice_hit_time_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
slice_hit_time[slice_hit_time_sz],Event Content Overview,Double,No,MasterAnaDev,Stores the time of each hit in the slice. One entry per hit.,Use Uncommon,,
event_in_time_vertex_types_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
event_in_time_vertex_types[event_in_time_vertex_types_sz],Event Content Overview,Int,No,MasterAnaDev,Stores the types of reconstructed vertices that are in-time with the beam spill or trigger window. Helps distinguish between true interaction vertices and out-of-time background vertices,Use Uncommon,,
event_vertex_types_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
event_vertex_types[event_vertex_types_sz],Event Content Overview,Int,No,MasterAnaDev,"Stores the types of reconstructed vertices in an event. Each entry corresponds to a classification assigned during reconstruction (e.g., primary interaction vertex, secondary decay vertex, or noise).",Use Uncommon,,
event_vertex_time_diff_sz,Event Content Overview,Int,No,MasterAnaDev,Size of following vector,Use Uncommon,,
event_vertex_time_diff[event_vertex_time_diff_sz],Event Content Overview,Double,No,MasterAnaDev,Stores the timing difference (Δt) of reconstructed start vertices relative to the event time. This helps in identifying whether the vertex is in-time or out-of-time with the beam. Units are usually in nanoseconds.,Use Uncommon,,
,,,,,,,,